title_id,subscribers,rating,views,likes
4032,84522,9.63,408834,48617
4031,45122,9.79,215068,21469
4030,80661,9.72,583294,56773
4029,136738,9.2,1045120,77038
3943,109439,9.51,860246,86964
3942,43068,9.58,352779,51471
3941,36383,9.76,347771,60826
3940,41419,8.54,818046,80351
3939,132602,9.78,1333036,144244
3938,332807,9.89,3767809,425974
3937,59887,9.82,518190,65346
3936,86237,9.75,947917,95104
3935,112020,9.66,1000989,102936
3934,109994,9.67,1046829,99030
3933,52196,9.62,526808,46910
3932,192302,9.37,2517926,177971
3931,63148,9.43,887690,116654
3930,81117,9.67,977881,99351
3870,49060,9.31,1157921,81603
3868,99572,9.54,1319913,131555
3867,160714,8.96,4521541,278411
3866,608971,9.69,12375566,935385
3865,176267,9.84,2492363,230291
3864,56185,9.65,1879933,200207
3863,62033,9.71,351475,43375
3862,178827,9.86,1453072,261812
3861,89529,9.62,735600,60309
3860,294851,9.8,3450255,428368
3859,123229,9.71,855058,86650
3858,436147,9.86,5194388,586278
3857,79938,9.76,2009297,282505
3856,299243,9.84,5131528,477814
3855,131686,9.6,2038405,178740
3854,40594,9.82,891624,176195
3853,59427,9.65,1370881,142534
3852,92591,9.35,1784292,149389
3783,381392,9.66,5810218,770333
3724,100664,8.63,2330399,144883
3723,24039,8.72,435001,41388
3722,79849,9.49,1139859,108590
3719,36833,9.64,451960,66833
3716,113040,8.62,1816897,141530
3714,145955,9.75,2263913,276593
3713,12954,7.98,321584,32713
3712,69375,9.73,1066077,129225
3711,27129,9.45,329826,40325
3710,69760,9.6,1175293,101296
3708,71934,9.76,2119187,373819
3707,163543,9.67,2976237,295739
3706,216634,9.82,4537687,454949
3705,162019,9.79,3218879,314077
3704,19790,6.18,373111,26637
3703,352828,9.6,8095838,569595
3702,55512,8.85,687866,64239
3701,69957,9.6,1514121,113616
3700,12550,7.75,225601,24532
3699,256356,9.87,4813044,565970
3698,89221,9.65,4200431,639313
3668,66835,9.82,734402,104782
3625,56210,9.46,2229625,222728
3624,169066,9.53,3186286,277029
3623,54515,9.08,808860,90491
3622,172007,9.84,4106703,512276
3621,67303,9.88,935452,100782
3620,30659,8.77,742593,69037
3619,95380,9.76,1998265,184965
3618,87452,8.74,1956669,169604
3617,81198,9.06,2291257,169409
3616,125258,9.7,2754980,357553
3615,270818,9.74,5421361,666558
3614,146372,9.7,2746048,269340
3613,35761,9.06,526440,51518
3612,550494,9.75,15842963,1517939
3611,90512,9.53,2615911,271371
3610,56211,8.79,1288121,121732
3609,86200,9.71,1362003,192297
3608,113798,9.71,2467575,269383
3557,50074,9.36,671183,79933
3507,146194,9.88,3539833,367862
3506,145473,9.53,2954124,355464
3505,69109,7.86,1993330,190636
3504,71493,8.74,1572612,148252
3503,111769,9.64,3021103,287286
3502,167815,9.58,5656213,921374
3501,108001,9.76,2709526,249189
3500,151436,9.71,3168501,528251
3499,130781,9.58,3525135,292703
3498,448999,9.78,12523940,1455113
3497,181690,9.59,5039269,469981
3496,223311,9.69,6283520,423396
3495,118090,9.26,3747154,349672
3494,116360,9.76,2905966,407284
3493,219475,9.74,4756965,499032
3492,135320,9.63,2569391,239338
3383,57855,6.63,2149436,159472
3382,95354,9.45,1649723,178329
3381,73828,9.49,2009977,256309
3380,529129,9.78,19026984,1621454
3379,30168,9.61,853043,114110
3378,80661,8.97,1921191,185229
3377,199413,9.33,5166362,523118
3376,124317,9.69,4081608,474751
3375,217673,9.75,5913415,509636
3374,365447,9.75,10035333,1081905
3373,48722,9.42,948934,111719
3372,48435,9.41,1157039,130502
3371,258162,9.78,6497612,743442
3370,169741,9.21,3679921,368032
3369,67449,7.84,3343655,302831
3368,117670,9.71,3418780,326843
3367,138380,9.73,4085197,332223
3366,96682,9.69,2894950,353299
3365,281424,8.58,7739866,615665
3234,27572,9.26,1099403,160693
3233,137343,9.52,2930666,253070
3232,143569,9.69,2904009,309174
3231,113337,9.59,2101086,210724
3230,77415,9.13,2215611,251036
3229,132546,9.62,6321310,849301
3228,255273,9.76,14330932,1157277
3227,238811,9.49,7920182,630790
3226,292264,9.9,14625133,1775743
3225,193133,9.78,4935801,598945
3224,101477,9.61,3271628,332502
3223,128598,9.71,2759778,298355
3222,117552,9.3,3201219,241129
3221,147688,8.52,4099402,304040
3220,381738,9.8,14562286,1406506
3219,457413,9.74,16895003,1364324
3218,57991,9.73,2175042,365150
3217,281581,9.83,8435142,683749
3216,84622,9.64,2212443,254404
3215,21383,8.96,503267,58077
3214,69605,9.74,1520996,181137
3088,324704,8.98,18959507,1364361
3087,61302,9.74,1726413,202885
3086,139639,9.4,4199461,423145
3085,610439,9.89,42996972,4734291
3084,52009,8.28,1949352,214850
3083,158687,9.82,4308003,493522
3082,298717,9.71,11586756,1184340
3081,172114,9.71,3965811,436996
3080,41715,9.18,1012904,137919
3079,86831,9.37,2070070,172368
3078,135583,9.29,3382752,402638
3077,116091,9.74,4163242,324955
3076,160357,9.83,3911099,513581
3075,107295,9.47,2307672,252587
3074,255793,9.71,8263898,916624
3073,148465,9.75,3446275,397877
3071,221719,9.78,8750149,709450
3070,69201,9.65,1685516,284518
3069,116430,9.7,4877679,607061
2917,196909,9.7,10205228,1202326
2916,69063,8.99,2636316,255508
2915,181304,9.87,3112318,381993
2914,319802,9.69,12441320,1161513
2913,95305,9.71,2889333,362370
2912,157107,9.74,4865158,504841
2911,99320,9.74,2695355,343532
2910,548388,9.76,28694994,1933431
2909,88166,6.7,2825083,254224
2908,958917,9.78,52468703,3907176
2907,187274,9.77,12740086,1531715
2906,387595,9.77,15442252,1711758
2905,175571,9.26,5784268,469756
2904,217690,9.77,8484561,852262
2903,127908,9.76,3777776,385037
2902,124527,9.73,3425782,373884
2901,677885,9.74,31733292,2462571
2900,108326,9.5,3321960,408325
2899,186809,9.88,7921630,751997
2897,83460,9.78,2162244,225701
2888,100663,9.83,3375911,542062
2887,75515,9.76,1965397,304783
2796,134384,9.45,4494323,407656
2795,175843,9.67,4979484,549802
2794,82657,9.59,2459068,377696
2793,76331,9.54,2335781,277800
2792,108915,9.64,2793446,347690
2791,173661,9.73,6030480,604709
2790,51774,9.45,1379341,213879
2789,58786,9.65,2237965,293642
2788,107007,9.35,3575851,388887
2787,148856,9.6,4929025,602681
2786,505727,9.66,22575542,1884685
2785,179853,9.78,6773590,1006536
2784,160919,9.65,6366412,801616
2783,48646,9.5,1836381,219175
2782,70974,9.71,2114943,206536
2781,24080,9.2,506008,55219
2780,151924,9.05,3409006,279436
2779,53201,9.36,2012754,209188
2778,314429,9.39,13444499,662382
2777,131505,9.41,3754049,363433
2673,104633,9.62,3554564,451407
2672,202402,9.43,9477519,687537
2671,80984,9.71,2593006,405100
2670,590031,9.72,29778187,1841984
2669,246480,9.8,10628315,1153957
2668,403528,9.92,17870472,2518480
2667,52110,8.99,3028344,465932
2666,347030,9.68,12729492,1328341
2665,154415,9.79,6268579,1061276
2664,212965,9.71,7261758,667310
2663,332587,9.75,15066709,1657851
2662,273527,9.67,10978352,1113082
2661,149654,9.69,6994386,561921
2660,230877,9.78,11412776,1480049
2659,65909,9.72,2100403,255001
2658,86601,9.61,1990953,186734
2657,123052,9.65,6585059,716386
2656,175550,9.65,11351256,1134997
2655,126858,9.86,7374224,917456
2654,292510,9.48,23576285,2268365
2543,119885,9.51,4975498,464163
2542,458669,9.77,18338058,1912849
2541,239621,9.62,12320346,1119160
2540,348420,9.42,14404955,1164635
2539,706019,9.82,31419606,2912847
2538,131954,9.49,3772275,406166
2537,136769,9.72,5634420,783178
2536,492741,9.69,20913973,1626694
2517,186829,9.6,8623485,998859
2491,46780,6.55,954169,60471
2490,517292,9.72,26277685,2585883
2489,427567,9.78,18551782,1948000
2488,356954,9.83,15566210,1566249
2487,100646,9.52,3633060,461419
2485,384807,9.83,19422262,2382463
2484,339007,9.86,21657220,3200647
2483,438612,9.74,18642166,1713636
2482,250727,9.66,12961630,1001865
2477,535405,9.81,35546330,3300926
2430,122309,9.81,6472175,887598
2429,301133,9.73,15993178,1548767
2428,155726,9.65,5225991,481004
2427,281058,9.72,14674034,1175951
2426,251687,9.54,10577177,769474
2425,118751,9.66,4107606,424881
2424,313300,9.77,16683099,1719980
2423,858884,9.9,61369313,5720892
2422,468150,9.84,30424733,3187641
2372,269903,9.86,12965823,1662592
2371,261677,9.72,10416550,1071851
2369,311366,9.71,22407459,2567218
2368,229051,9.74,11722755,1356766
2367,764864,9.91,58252419,4440463
2366,228412,9.73,10691133,1212202
2365,307602,9.54,25939795,1944442
2363,548521,9.87,38253800,3977374
2362,208637,9.75,11565268,1028037
2361,184731,9.65,10280934,1190966
2306,229930,9.8,10791930,1298082
2305,285844,9.77,15817973,1674528
2304,539280,9.73,31939370,2807195
2303,61823,9.76,1534956,220550
2302,171156,9.74,7324146,978687
2301,86601,9.38,3302227,298995
2300,382105,9.7,19905750,2227357
2299,157333,9.8,7377125,792146
2298,464344,9.88,31473643,3416471
2297,447082,9.8,32117808,2825125
2296,362897,9.75,21983944,2018231
2295,227329,9.61,6964219,373197
2294,312960,9.74,16262666,1721948
2267,39185,9.42,2393597,217497
2266,259424,9.91,11740250,1247494
2265,356182,9.48,24939092,2352739
2264,102653,9.62,5986540,606139
2263,128179,9.75,13236473,1361000
2262,237951,9.78,11548180,1416240
2261,244662,9.75,10509540,1051860
2260,680688,9.61,58144104,4673426
2259,174259,9.81,8460764,768257
2258,123578,8.43,7389810,528440
2257,79002,9.9,5605973,597016
2256,155955,9.77,9396706,788068
2255,404137,9.73,22465400,2196900
2254,110347,9.73,4855174,708962
2253,214907,9.78,11774494,1564400
2252,251857,9.72,15291409,1225176
2251,193365,9.73,8734675,883338
2250,201199,9.68,7885768,763870
2212,23145,9.04,993277,89031
2206,154218,9.78,4278768,502562
2205,251011,9.81,11726355,1583736
2204,378420,9.75,24722619,2975737
2203,173943,9.84,9503220,1050248
2202,70717,9.69,3654889,411844
2201,272780,9.71,12017320,1353527
2200,690467,9.49,55144558,3174235
2199,392701,9.88,25577023,2968554
2198,357045,9.63,17792861,1630916
2197,439008,9.48,24609180,1645892
2196,65122,9.46,3528887,351604
2195,405606,9.77,28807403,2027317
2194,337229,9.9,28024798,2288842
2193,298085,9.79,20821673,1778909
2192,153620,9.63,12999939,872101
2188,152262,9.8,4254567,266697
2162,51879,9.25,2891683,224678
2156,89252,9.79,5120053,696420
2150,220981,9.69,10415629,1197874
2149,440570,9.62,27735167,2133307
2148,151066,9.67,18406796,1982844
2147,321980,9.31,17474272,1396241
2146,560639,9.77,50319444,4806588
2145,694286,9.73,48111619,4040695
2133,44164,9.38,2316294,217613
2132,36604,9.86,1801710,294564
2111,418665,9.74,21359512,1935559
2110,217237,9.76,10796398,960346
2109,467366,9.91,29563224,3551521
2108,613818,9.81,35877643,3193831
2107,216364,9.37,12878578,1102008
2091,177116,9.69,5900234,652290
2079,333704,9.63,16251199,1193297
2078,250903,9.86,19681912,1246475
2077,217254,9.8,13556817,1370058
2076,286529,9.76,16566274,1925447
